title,artist,albumTitle,bpm,key,comment,year,location
S-S-S-Single Bed,Fox,Blue Hotel,0.0,,"Glam Rock; Glam Pop; theatrical vocals, lush orchestration, campy piano flourishes, disco-tinged rhythm section; flamboyant UK glitter era extravagance; Britain, late 70s.",1977,/Volumes/Macintosh HD/Users/jasonfurnell/Dropbox/Music/DJ Styx - Bev starter/01 S-S-S-Single Bed.m4a
Sabali,Amadou & Mariam,Welcome To Mali,0.0,,"Afro-pop; Malian Blues; hypnotic guitar interplay, traditional ngoni textures, warm percussion grooves; sun-drenched West African crossover anthem; Mali, late 2000s.",2008,/Volumes/Macintosh HD/Users/jasonfurnell/Dropbox/Music/DJ Styx - Bev starter/01 Sabali.m4a
Workout,Giraffage,Workout,0.0,,"Future Bass; Chillwave; shimmering synth arpeggios, crisp percussion, dreamy vocal chops, lush atmospheric pads; sunset-soaked California electronic dreamscape; US West Coast, early 2020s.",2020,/Volumes/Macintosh HD/Users/jasonfurnell/Dropbox/Music/DJ Styx - Bev starter/01 Workout.m4a
give me a reason,bad tuner,give me a reason,0.0,,"Electronic Pop; Hyperpop; glitchy vocal chops, distorted bass, frenetic digital production; anxiety-fueled bedroom producer chaos; Internet/Global, mid-2020s.",2024,/Volumes/Macintosh HD/Users/jasonfurnell/Dropbox/Music/DJ Styx - Bev starter/01 give me a reason.m4a
100% Pure Love,Crystal Waters,The Best Of Crystal Waters,0.0,,"House; Vocal House; uplifting piano stabs, soulful diva vocals, infectious bass grooves; peak-time euphoric anthem with gospel-tinged energy; US, late 90s reissue of early 90s classic.",1998,/Volumes/Macintosh HD/Users/jasonfurnell/Dropbox/Music/DJ Styx - Bev starter/02 100% Pure Love.m4a
Groove of the Ghetto - Original Mix,A Guy Called Gerald,How Long Is Now,0.0,,"House; UK Garage-influenced; skippy percussion, deep sub-bass, syncopated rhythms, minimal production; underground warehouse energy meets bass weight; Manchester, early 2010s reinvention of classic rave heritage.",2013,/Volumes/Macintosh HD/Users/jasonfurnell/Dropbox/Music/DJ Styx - Bev starter/02 Groove of the Ghetto - Original Mix.m4a
Poison Lips,Vitalic,Flashmob,0.0,,"Electro House; French Electro; distorted synth stabs, pounding four-to-four kick, aggressive sawtooth bassline; dark warehouse energy meets Parisian rave swagger; France, late 2000s.",2009,/Volumes/Macintosh HD/Users/jasonfurnell/Dropbox/Music/DJ Styx - Bev starter/02 Poison Lips.m4a
Think (About It) - Spen & Thommy’s House Party Mix,"Barbara Tucker, DJ Spen, Thommy Davis",Think (About It),0.0,,"House; Vocal House; uplifting diva vocals, shuffling grooves, warm piano stabs, infectious energy; peak-time feel-good floor filler; US soulful house tradition, 2010s remix.",2017,/Volumes/Macintosh HD/Users/jasonfurnell/Dropbox/Music/DJ Styx - Bev starter/02 Think (About It) - Spen & Thommy’s House Party Mix.m4a
Welcome Theremin,MEZERG,Chez Mezerg,0.0,,"Experimental Electronic; Theremin-Focused Soundscape; oscillating analog textures, ethereal pitch bends, avant-garde production; otherworldly sonic exploration; Eastern Europe, early 2020s.",2021,/Volumes/Macintosh HD/Users/jasonfurnell/Dropbox/Music/DJ Styx - Bev starter/02 Welcome Theremin.m4a
Me And The Gang,Bohannon,Summertime Groove,0.0,,"Disco; Funk-infused Dance; punchy horns, syncopated bass grooves, tight orchestration; peak Studio 54 dancefloor energy; US, late 70s.",1978,/Volumes/Macintosh HD/Users/jasonfurnell/Dropbox/Music/DJ Styx - Bev starter/03 Me And The Gang.m4a
Niemand,"KOMPROMAT, Vitalic, Rebeka Warrior",Traum und Existenz,0.0,,"Electro-Punk; Cold Wave; distorted basslines, driving industrial drums, confrontational French-German vocals, raw analog textures; dystopian underground rave energy; Franco-European collaboration, late 2010s.",2019,/Volumes/Macintosh HD/Users/jasonfurnell/Dropbox/Music/DJ Styx - Bev starter/03 Niemand.m4a
Changed,Yan Wagner,Forty Eight Hours,0.0,,"Melodic House; Progressive House; lush synth layers, rolling bassline, euphoric builds; sun-soaked festival anthem with emotional depth; Europe, early 2010s.",2012,/Volumes/Macintosh HD/Users/jasonfurnell/Dropbox/Music/DJ Styx - Bev starter/04 Changed.m4a
Femuscle,Siriusmo,Allthegirls,0.0,,"Electro House; Glitch Hop; punchy 8-bit synths, distorted bass stabs, frenetic broken beats; playful Berlin club chaos meets video game nostalgia; Germany, late 2000s.",2008,/Volumes/Macintosh HD/Users/jasonfurnell/Dropbox/Music/DJ Styx - Bev starter/04 Femuscle.m4a
Die tausende Herbst,"KOMPROMAT, Vitalic, Rebeka Warrior",Traum und Existenz,0.0,,"Industrial Techno; EBM/Darkwave; pounding mechanical beats, distorted vocals, abrasive synth textures; dystopian dancefloor intensity with French-German collaboration; France/Germany, late 2010s.",2019,/Volumes/Macintosh HD/Users/jasonfurnell/Dropbox/Music/DJ Styx - Bev starter/05 Die tausende Herbst.m4a
Big Time,Peter Gabriel,So (Remastered),0.0,,"Art Rock; Experimental Pop; bombastic horns, punchy gated drums, quirky vocal delivery, theatrical production; ambitious 80s MTV-era spectacle; UK/US crossover, mid-80s.",1986,/Volumes/Macintosh HD/Users/jasonfurnell/Dropbox/Music/DJ Styx - Bev starter/06 Big Time.m4a
Lightspeed,Vitalic,Voyager,0.0,,"Electro House; French Electro; driving distorted synths, pounding four-on-the-floor kicks, aggressive sawtooth basslines; peak-time festival energy with relentless intensity; France, late 2010s.",2017,/Volumes/Macintosh HD/Users/jasonfurnell/Dropbox/Music/DJ Styx - Bev starter/06 Lightspeed.m4a
Sushi and Baklava,Fatima Yamaha,A Girl Between Two Worlds,0.0,,"Downtempo; Balearic Beat; warm analog synths, lazy groove, sun-soaked melodies, nostalgic pads; dreamy Mediterranean sunset chillout; Netherlands, mid-2010s.",2015,/Volumes/Macintosh HD/Users/jasonfurnell/Dropbox/Music/DJ Styx - Bev starter/06 Sushi and Baklava.m4a
"Use It Up and Wear It Out - 12"" Single Edit",Odyssey,Hang Together (Expanded Edition),0.0,,"Disco; Funk/Soul; infectious four-on-the-floor groove, lush string arrangements, call-and-response vocals, tight horn stabs; peak Studio 54 euphoria; New York, 1980.",1980,/Volumes/Macintosh HD/Users/jasonfurnell/Dropbox/Music/DJ Styx - Bev starter/06 Use It Up and Wear It Out - 12_ Single Edit.m4a
Itchy,Siriusmo,Enthusiast,0.0,,"Electro House; Glitch Bass; warped synth stabs, crunchy percussion, squelchy filtered bassline; playful late-night warehouse energy; Germany, early 2010s.",2013,/Volumes/Macintosh HD/Users/jasonfurnell/Dropbox/Music/DJ Styx - Bev starter/07 Itchy.m4a
"Jump to It - 12"" Mix",Aretha Franklin,"Love, Luther",0.0,,"R&B/Soul; Post-Disco Funk; punchy brass stabs, elastic bassline, Luther Vandross production shimmer; Detroit queen meets NYC dancefloor heat; USA, 1982 classic.",2007,/Volumes/Macintosh HD/Users/jasonfurnell/Dropbox/Music/DJ Styx - Bev starter/08 Jump to It - 12_ Mix.m4a
All Over Your Face,Ronnie Dyson,Constantly,0.0,,"Disco; Soul-Disco; lush strings, punchy horns, infectious bassline, soaring vocals; Studio 54 euphoria meets sophisticated dancefloor energy; US, mid-70s classic reissue.",2007,/Volumes/Macintosh HD/Users/jasonfurnell/Dropbox/Music/DJ Styx - Bev starter/09 All Over Your Face.m4a
Let's Get Busy (East End Goes North Mix) [Remaster] - East End Goes North Mix Remaster,Clubland,"Remixed for Life, Vol. 3 (1992 Vs. 2020)",0.0,,"UK Garage; 4x4 House; shuffled percussion, chopped vocals, rolling bassline, energetic breaks; peak-time rave energy meets underground warehouse vibes; UK, early 90s remastered.",2020,/Volumes/Macintosh HD/Users/jasonfurnell/Dropbox/Music/DJ Styx - Bev starter/09 Let's Get Busy (East End Goes North Mix) [Remaster] - East End Goes North Mix Remaster.m4a
Métro Zénith,MEZERG,VOL RETARDÉ DE 42 MN,0.0,,"Techno; Melodic Techno; hypnotic arpeggios, pulsing bassline, atmospheric pads, driving percussion; underground European club energy; France, mid-2020s.",2025,/Volumes/Macintosh HD/Users/jasonfurnell/Dropbox/Music/DJ Styx - Bev starter/09 Métro Zénith.m4a
I've Got a Woman,Ray Charles,"Ray Charles (aka: Hallelujah, I Love Her So)",0.0,,"Soul; Gospel-infused R&B; call-and-response vocals, punchy horns, swinging piano, jubilant energy; pioneering Atlantic Records studio sound; USA, mid-1950s dawn of soul music revolution.",1957,/Volumes/Macintosh HD/Users/jasonfurnell/Dropbox/Music/DJ Styx - Bev starter/14 I've Got a Woman.m4a
Black & Gold - Radio Edit,Sam Sparro,Black & Gold (Radio Edit),0.0,,"Nu-Disco; Electro-Soul; pulsing synth bass, falsetto vocals, shimmering production, disco strings; euphoric dancefloor anthem with retro-futuristic vibes; Australia, late 2000s.",2008,/Volumes/Macintosh HD/Users/jasonfurnell/Dropbox/Music/Jules - Bev 2025/01 Black & Gold - Radio Edit.m4a
Don't Gas Me,Dizzee Rascal,Don't Gas Me,0.0,,"Grime; UK Rap; aggressive 808s, minimalist production, sharp hi-hats, menacing bass; raw East London street energy and assertive swagger; UK, late 2010s.",2018,/Volumes/Macintosh HD/Users/jasonfurnell/Dropbox/Music/Jules - Bev 2025/01 Don't Gas Me.m4a
It Takes Two,Rob Base & DJ EZ Rock,It Takes Two,111.598,12M,"Hip-Hop; Golden Age Rap; explosive James Brown samples, punchy drum breaks, call-and-response vocals; infectious party-rocking anthem; New York, late 80s.",1988,/Volumes/Macintosh HD/Users/jasonfurnell/Dropbox/Music/Jules - Bev 2025/01 It Takes Two.m4a
Tambourine,Eve,Tambourine,102.600471,10M,"Hip-Hop; Crunk&B; punchy brass stabs, rattling percussion, aggressive vocals over minimal synth bass; Philly rapper's club anthem with southern swagger; USA, mid-2000s.",2007,/Volumes/Macintosh HD/Users/jasonfurnell/Dropbox/Music/Jules - Bev 2025/01 Tambourine.m4a
Tipsy - Radio Mix,J-Kwon,Tipsy,0.0,,"Crunk; Southern Hip-Hop; booming 808s, hypnotic synth loops, chant-driven hook; rowdy club anthem celebrating youth excess; St. Louis, mid-2000s.",2004,/Volumes/Macintosh HD/Users/jasonfurnell/Dropbox/Music/Jules - Bev 2025/01 Tipsy - Radio Mix.m4a
Rhythm Nation,Janet Jackson,Rhythm Nation 1814,0.0,,"Pop; Dance-Pop, New Jack Swing; militant industrial synths, military drum programming, sharp vocal staccatos; defiant socially-conscious urban anthem; US, late 80s.",1989,/Volumes/Macintosh HD/Users/jasonfurnell/Dropbox/Music/Jules - Bev 2025/02 Rhythm Nation.m4a
SexyBack (feat. Timbaland),"Justin Timberlake, Timbaland",FutureSex/LoveSounds,0.0,,"Pop; Electro-funk; distorted synth stabs, minimal beats, aggressive vocoder vocals, futuristic production; provocative club-ready swagger meets innovative sonic experimentation; US, mid-2000s.",2006,/Volumes/Macintosh HD/Users/jasonfurnell/Dropbox/Music/Jules - Bev 2025/02 SexyBack (feat. Timbaland).m4a
Bucky Done Gun,M.I.A.,Arular,0.0,,"Electronic/Hip-Hop; Dancehall-Grime Fusion; raw digital percussion, angular synth stabs, minimal bass, confrontational vocal delivery; UK underground club energy meets South Asian street swagger; London, mid-2000s.",2005,/Volumes/Macintosh HD/Users/jasonfurnell/Dropbox/Music/Jules - Bev 2025/03 Bucky Done Gun.m4a
Drop It Like It's Hot,"Snoop Dogg, Pharrell Williams",R&G (Rhythm & Gangsta): The Masterpiece,0.0,,"Hip-Hop; G-Funk/Minimalist Rap; sparse tongue-click percussion, hypnotic synth stabs, laid-back swagger; West Coast street anthem with effortless cool; California, mid-2000s.",2004,/Volumes/Macintosh HD/Users/jasonfurnell/Dropbox/Music/Jules - Bev 2025/03 Drop It Like It's Hot.m4a
Lose Control (feat. Ciara & Fat Man Scoop),"Missy Elliott, Ciara, Fatman Scoop",The Cookbook,125.448669,4M,"Hip-Hop; Crunk; thunderous bhangra-tinged synths, relentless hype vocals, explosive call-and-response energy; peak mid-2000s club dominance; East Coast USA, 2005.",2005,/Volumes/Macintosh HD/Users/jasonfurnell/Dropbox/Music/Jules - Bev 2025/04 Lose Control (feat. Ciara & Fat Man Scoop).m4a
"Ease On Down The Road #1 - From ""The Wiz"" Soundtrack","Diana Ross, Michael Jackson",The Wiz,0.0,,"Soul/Funk; Musical Theater Funk; buoyant brass stabs, syncopated percussion, call-and-response vocals, uplifting groove; joyful Broadway-meets-Motown celebration; US, late 70s.",1978,/Volumes/Macintosh HD/Users/jasonfurnell/Dropbox/Music/Jules - Bev 2025/09 Ease On Down The Road #1 - From _The Wiz_ Soundtrack.m4a
Temperature,Sean Paul,The Trinity,0.0,,"Dancehall; Reggae Fusion; bouncing Diwali riddim, infectious vocal flow, minimalist percussion, tropical synthesizer stabs; Kingston's global crossover moment turned summer anthem; Jamaica, mid-2000s.",2005,/Volumes/Macintosh HD/Users/jasonfurnell/Dropbox/Music/Jules - Bev 2025/11 Temperature.m4a
Get Up Offa That Thing,James Brown,The 50th Anniversary Collection,117.695442,1D,"Funk; Soul-Funk; punchy brass stabs, syncopated rhythm guitar, commanding vocal exhortations; raw 70s dancefloor energy demanding movement; USA, mid-70s classic.",2003,/Volumes/Macintosh HD/Users/jasonfurnell/Dropbox/Music/Jules - Bev 2025/20 Get Up Offa That Thing.m4a
(Are You Ready) Do the Bus Stop,Fatback Band,Raising Hell,111.303177,12M,"Funk; Soul-Funk; infectious brass stabs, tight rhythm guitar, punchy bassline, call-and-response vocals; sweaty New York dance floor energy; USA, mid-70s.",1975,/Volumes/Macintosh HD/Users/jasonfurnell/Dropbox/Music/DJ Styx - Fortune 500 June/01 (Are You Ready) Do the Bus Stop.m4a
(They Long To Be) Close To You,Gwen Guthrie,Good To Go Lover,96.724243,1D,"Boogie; Post-Disco Soul; lush synth strings, punchy programmed drums, warm bass grooves; sophisticated urban radio sophistication meets dancefloor warmth; US, mid-80s.",1986,/Volumes/Macintosh HD/Users/jasonfurnell/Dropbox/Music/DJ Styx - Fortune 500 June/01 (They Long To Be) Close To You.m4a
Active,"Asake, Travis Scott",Active,112.999725,9M,"Afrobeats; Afro-fusion; hypnotic log drums, atmospheric synths, hard-hitting 808s, bilingual flow; luxurious late-night club energy meets Lagos-Houston crossover; Nigeria/US, mid-2020s.",2024,/Volumes/Macintosh HD/Users/jasonfurnell/Dropbox/Music/DJ Styx - Fortune 500 June/01 Active.m4a
Another World,Joe Jackson,Night And Day,106.825714,1D,"New Wave; Post-Punk; angular guitars, pulsing bassline, crisp synth stabs, theatrical vocals; dark urban sophistication meets art-rock experimentation; UK/US, early 80s.",1982,/Volumes/Macintosh HD/Users/jasonfurnell/Dropbox/Music/DJ Styx - Fortune 500 June/01 Another World.m4a
Band Of Gold (Single Mix),Freda Payne,Band Of Gold,106.011383,2D,"Soul; Northern Soul; lush orchestration, propulsive bassline, heartbreak vocals over dramatic strings; classic Motown heartbreak anthem; Detroit, 1970.",1970,/Volumes/Macintosh HD/Users/jasonfurnell/Dropbox/Music/DJ Styx - Fortune 500 June/01 Band Of Gold (Single Mix).m4a
Black Renaissance,Harry Whitaker,Black Renaissance,91.223022,9M,"Jazz Funk; Spiritual Jazz; lush orchestral arrangements, Rhodes piano, soaring strings, expansive horn sections; cosmic consciousness movement soul; USA, mid-70s Black Arts era.",1976,/Volumes/Macintosh HD/Users/jasonfurnell/Dropbox/Music/DJ Styx - Fortune 500 June/01 Black Renaissance.m4a
DEVIL IS A LIE,Tommy Richman,DEVIL IS A LIE,90.000389,1M,"Hip-Hop; Trap Soul; brooding 808s, hazy atmospheric production, melodic vocal flows; moody nocturnal vibes with contemporary R&B inflections; US, mid-2020s.",2024,/Volumes/Macintosh HD/Users/jasonfurnell/Dropbox/Music/DJ Styx - Fortune 500 June/01 DEVIL IS A LIE.m4a
Don't Gas Me,Dizzee Rascal,Don't Gas Me,131.999435,12M,"Grime; UK Rap; aggressive 808s, syncopated hi-hats, sparse menacing production; raw East London street energy meets modern trap influence; UK, late 2010s.",2018,/Volumes/Macintosh HD/Users/jasonfurnell/Dropbox/Music/DJ Styx - Fortune 500 June/01 Don't Gas Me.m4a
Eisbär,Grauzone,Eisbär,129.405716,4M,"NDW (Neue Deutsche Welle); Cold Wave; icy minimal synths, stark drum machine, detached vocals, hypnotic bassline; austere post-punk atmosphere meets Swiss minimalism; Zürich/Switzerland, early 80s.",1981,/Volumes/Macintosh HD/Users/jasonfurnell/Dropbox/Music/DJ Styx - Fortune 500 June/01 Eisbär.m4a
Girls on Film - 16 Millimetre Mix,"Duran Duran, Attica Blues",Girls on Film (Attica Blues Mix),131.320923,1M,"New Wave; Synth-pop/Downtempo Remix; lush breakbeat reconstruction, cinematic strings, sultry bass grooves; sophisticated late-night lounge atmosphere; UK original reimagined with trip-hop sensibility, 2011 reinterpretation.",2011,/Volumes/Macintosh HD/Users/jasonfurnell/Dropbox/Music/DJ Styx - Fortune 500 June/01 Girls on Film - 16 Millimetre Mix.m4a
Groove Me,Fern Kinney,Groove Me,107.646919,12M,"Disco; Soul-Disco; lush strings, steady four-on-the-floor pulse, romantic vocals over warm bassline; sultry late-night dancefloor seduction; USA, late 70s.",1979,/Volumes/Macintosh HD/Users/jasonfurnell/Dropbox/Music/DJ Styx - Fortune 500 June/01 Groove Me.m4a
Hell N Back (feat. Summer Walker),"Bakar, Summer Walker",Hell N Back (feat. Summer Walker),104.998413,9M,"Alternative R&B; Indie Soul; hazy guitar textures, laid-back trap-influenced drums, intimate vocal harmonies; melancholic late-night drive through city lights; UK/US crossover, early 2020s.",2023,/Volumes/Macintosh HD/Users/jasonfurnell/Dropbox/Music/DJ Styx - Fortune 500 June/01 Hell N Back (feat. Summer Walker).m4a
I'm Lucky,Joan Armatrading,Walk Under Ladders (Reissue),114.348282,8M,"Soul; Pop-Soul; crisp electric guitar licks, punchy brass stabs, optimistic vocal delivery; uplifting British crossover anthem with polished studio sheen; UK, early 80s.",1981,/Volumes/Macintosh HD/Users/jasonfurnell/Dropbox/Music/DJ Styx - Fortune 500 June/01 I'm Lucky.m4a
Jeannie No,Judie Tzuke,Ritmo,135.713699,12M,"Pop Rock; New Wave-influenced Pop; shimmering guitars, punchy drums, soaring vocal hooks; British radio-friendly sophistication with emotional depth; UK, early-to-mid 80s.",1983,/Volumes/Macintosh HD/Users/jasonfurnell/Dropbox/Music/DJ Styx - Fortune 500 June/01 Jeannie No.m4a
Let's Change It Up - Extended Version,Inner Life,Let's Change It Up,121.414513,7D,"Disco; Boogie/Post-Disco; warm bass grooves, lush strings, crisp percussion, soulful vocals; euphoric New York club nights; NYC, mid-80s transitional era.",1984,/Volumes/Macintosh HD/Users/jasonfurnell/Dropbox/Music/DJ Styx - Fortune 500 June/01 Let's Change It Up - Extended Version.m4a
Let's Go To Bed,The Cure,Japanese Whispers,128.147003,10M,"New Wave; Synth-pop; bouncy bassline, playful keyboards, crisp drum machine, Robert Smith's whimsical vocals; flirtatious dancefloor liberation from post-punk darkness; UK, early 80s.",1983,/Volumes/Macintosh HD/Users/jasonfurnell/Dropbox/Music/DJ Styx - Fortune 500 June/01 Let's Go To Bed.m4a
Lucky Number,Lene Lovich,Stateless,153.534531,10M,"New Wave; Art Punk; frantic saxophone stabs, angular vocals, jagged guitar bursts; theatrical post-punk urgency meets cabaret sass; UK, late 1970s reissue.",2007,/Volumes/Macintosh HD/Users/jasonfurnell/Dropbox/Music/DJ Styx - Fortune 500 June/01 Lucky Number.m4a
Me Myself I,Joan Armatrading,Me Myself I,133.956909,5D,"Rock; Pop Rock; punchy guitar hooks, tight rhythmic groove, confident vocal delivery; empowering dancefloor anthem with Caribbean-British soul; UK, early 80s crossover era.",1980,/Volumes/Macintosh HD/Users/jasonfurnell/Dropbox/Music/DJ Styx - Fortune 500 June/01 Me Myself I.m4a
Nutbush City Limits,Ike & Tina Turner,Nutbush City Limits,153.181778,1M,"Rock; Funk Rock; gritty guitar riff, pounding rhythm section, raw powerhouse vocals; swaggering dancefloor stomper from the chitlin' circuit era; USA, early 70s.",1973,/Volumes/Macintosh HD/Users/jasonfurnell/Dropbox/Music/DJ Styx - Fortune 500 June/01 Nutbush City Limits.m4a
Rip It Up,Orange Juice,Rip It Up,102.791649,2D,"Post-Punk; Jangle Pop; jittery guitars, funky bassline, choppy rhythms, bright production; upbeat Scottish indie dance floor energy; Glasgow, early 80s.",1982,/Volumes/Macintosh HD/Users/jasonfurnell/Dropbox/Music/DJ Styx - Fortune 500 June/01 Rip It Up.m4a
S-S-S-Single Bed,Fox,Blue Hotel,103.784622,7M,"Glam Rock; Pop Rock; playful brass stabs, funky bass groove, theatrical vocals; flamboyant British glitter-era dancefloor anthem; UK, late 70s.",1977,/Volumes/Macintosh HD/Users/jasonfurnell/Dropbox/Music/DJ Styx - Fortune 500 June/01 S-S-S-Single Bed.m4a
"Shame, Shame, Shame (7 inch Version)",Shirley & Company,Shame Shame Shame,100.531067,2M,"Disco; Classic Disco/Funk; infectious horn stabs, syncopated bass groove, call-and-response vocals; joyful dancefloor anthem from American soul-disco crossover era; US, mid-70s.",1975,"/Volumes/Macintosh HD/Users/jasonfurnell/Dropbox/Music/DJ Styx - Fortune 500 June/01 Shame, Shame, Shame (7 inch Version).m4a"
Shine On Me,One Way,Shine On Me,114.436165,2M,"Boogie; Electro-Funk; shimmering synth bass, crisp drum machine, vocoder hooks, tight rhythm guitar; slick roller rink energy; Detroit/LA, early 80s.",1983,/Volumes/Macintosh HD/Users/jasonfurnell/Dropbox/Music/DJ Styx - Fortune 500 June/01 Shine On Me.m4a
Space Invaders,Player 1,Space Invaders,126.099442,1M,"Electro-Disco; Space Disco; cosmic synthesizers, funky bassline, arcade-inspired bleeps, four-on-the-floor groove; retro-futuristic dancefloor energy; US/Europe, early electronic era.",1980,/Volumes/Macintosh HD/Users/jasonfurnell/Dropbox/Music/DJ Styx - Fortune 500 June/01 Space Invaders.m4a
Sugar Me,Lynsey De Paul,Surprise,93.895325,4M,"Pop; Glam Pop; lush orchestral strings, playful piano hooks, flirtatious vocal delivery; cheeky British chart sophistication meets theatrical cabaret charm; UK, early 70s.",1973,/Volumes/Macintosh HD/Users/jasonfurnell/Dropbox/Music/DJ Styx - Fortune 500 June/01 Sugar Me.m4a
The Sensual World,Kate Bush,The Sensual World,135.730347,9M,"Art Pop; Baroque Pop; lush orchestral strings, ethnic percussion, ethereal vocal layering; dreamy literary romance meets worldbeat fusion; UK, late 80s.",1989,/Volumes/Macintosh HD/Users/jasonfurnell/Dropbox/Music/DJ Styx - Fortune 500 June/01 The Sensual World.m4a
Welcome to the Cruise,Judie Tzuke,Welcome to the Cruise,134.595505,12M,"Rock; Album Rock/AOR; polished guitar hooks, punchy drums, smooth vocal harmonies; sophisticated British pop-rock energy; UK, late 70s.",1979,/Volumes/Macintosh HD/Users/jasonfurnell/Dropbox/Music/DJ Styx - Fortune 500 June/01 Welcome to the Cruise.m4a
Wichita Lineman - Remastered 2001,Glen Campbell,Wichita Lineman (Remastered),83.921021,12M,"Country Pop; Orchestral Ballad; lush strings, melancholic pedal steel, cinematic arrangement; timeless heartland Americana storytelling; USA, late 60s.",1968,/Volumes/Macintosh HD/Users/jasonfurnell/Dropbox/Music/DJ Styx - Fortune 500 June/01 Wichita Lineman - Remastered 2001.m4a
You'll Always Find Me In The Kitchen At Parties,Jona Lewie,On The Other Hand There's A Fist,92.801376,11M,"New Wave; Quirky Pop; wobbly synths, playful piano, off-kilter drum machine, eccentric vocal delivery; whimsical British pub singalong meets awkward social commentary; UK, late 70s.",1978,/Volumes/Macintosh HD/Users/jasonfurnell/Dropbox/Music/DJ Styx - Fortune 500 June/01 You'll Always Find Me In The Kitchen At Parties.m4a
Cherry Blossom Girl,Air,Talkie Walkie,150.008743,4M,"Dream Pop; Downtempo Electronic; lush orchestral strings, ethereal vocals, shimmering synths; wistful French touch sophistication meets Japanese-inspired romance; France, mid-2000s.",2004,/Volumes/Macintosh HD/Users/jasonfurnell/Dropbox/Music/DJ Styx - Fortune 500 June/02 Cherry Blossom Girl.m4a
Drüm 2 - Lion's Drums Edit,Manos Tsangaris,Lion's Drums Edits: Manos Tsangaris Drüm,119.99929,12D,"Experimental Percussion; Avant-garde; raw acoustic timbres, polyrhythmic layers, minimalist textures; cerebral contemporary classical exploration; Germany, early 2020s.",2021,/Volumes/Macintosh HD/Users/jasonfurnell/Dropbox/Music/DJ Styx - Fortune 500 June/02 Drüm 2 - Lion's Drums Edit.m4a
I Love the Sound of Breaking Glass,Nick Lowe,Jesus of Cool,107.43866,2D,"New Wave; Power Pop; punchy guitars, propulsive bass, snarling vocals, raw energy; rebellious UK pub rock evolution meets punk attitude; London, late 70s.",1978,/Volumes/Macintosh HD/Users/jasonfurnell/Dropbox/Music/DJ Styx - Fortune 500 June/02 I Love the Sound of Breaking Glass.m4a
I'm Glad You're Mine,Al Green,I'm Still in Love with You,81.599075,1M,"Southern Soul; Memphis Soul; lush orchestration, sultry vocals, warm horns, slow-burning groove; intimate late-night romance and devotion; Memphis, early 70s golden era.",1972,/Volumes/Macintosh HD/Users/jasonfurnell/Dropbox/Music/DJ Styx - Fortune 500 June/02 I'm Glad You're Mine.m4a
Rhythm Nation,Janet Jackson,Rhythm Nation 1814,109.106743,1M,"Pop; Industrial Dance-Pop; militaristic drum machines, distorted synth stabs, militant vocal commands, hard-hitting production; socially-conscious new jack swing revolution; Minneapolis, late 80s.",1989,/Volumes/Macintosh HD/Users/jasonfurnell/Dropbox/Music/DJ Styx - Fortune 500 June/02 Rhythm Nation.m4a
She Don't Live Here Anymore,Judie Tzuke,Ritmo,135.21962,12M,"Pop Rock; New Wave-influenced Pop; shimmering guitars, punchy drums, emotional vocal delivery; heartbreak anthem with British sophistication; UK, early 80s.",1983,/Volumes/Macintosh HD/Users/jasonfurnell/Dropbox/Music/DJ Styx - Fortune 500 June/02 She Don't Live Here Anymore.m4a
You're the One,SWV,New Beginning,94.15065,8D,"R&B; New Jack Swing; silky vocal harmonies, slow-grinding beats, lush chord progressions; late-night slow jam energy for sultry dancefloor moments; US, mid-90s.",1996,/Volumes/Macintosh HD/Users/jasonfurnell/Dropbox/Music/DJ Styx - Fortune 500 June/02 You're the One.m4a
Argonaut,Floating Points,Vacuum Boogie,106.999954,10M,"Electronic; Ambient Techno; hypnotic arpeggios, lush pads, intricate percussion, evolving textures; cerebral after-hours drift for discerning dancefloors; UK, late 2000s.",2009,/Volumes/Macintosh HD/Users/jasonfurnell/Dropbox/Music/DJ Styx - Fortune 500 June/03 Argonaut.m4a
Emotion,"Samantha Sang, Bee Gees",Emotion,92.667252,1D,"Soft Rock; Adult Contemporary; lush orchestral strings, falsetto harmonies, polished production; heartfelt ballad perfect for romantic moments; Australia/UK, late 70s disco-pop crossover era.",1977,/Volumes/Macintosh HD/Users/jasonfurnell/Dropbox/Music/DJ Styx - Fortune 500 June/03 Emotion.m4a
Everywhere - 2017 Remaster,Fleetwood Mac,Tango In the Night (Deluxe Edition),114.728287,5D,"Rock; Pop Rock; shimmering guitars, lush harmonies, crisp drum programming; feel-good FM radio anthem with timeless warmth; US/UK, late 80s.",1987,/Volumes/Macintosh HD/Users/jasonfurnell/Dropbox/Music/DJ Styx - Fortune 500 June/03 Everywhere - 2017 Remaster.m4a
How About You,"Javon Jackson, Nikki Giovanni",Javon & Nikki Go To The Movies,85.011391,3D,"Jazz; Spoken Word Jazz; warm saxophone leads, intimate poetry delivery, smooth downtempo groove; sophisticated late-night listening room atmosphere; US, contemporary 2020s.",2024,/Volumes/Macintosh HD/Users/jasonfurnell/Dropbox/Music/DJ Styx - Fortune 500 June/03 How About You.m4a
How Long,Ace,Five-A-Side,123.289284,11D,"Pub Rock; Blue-eyed Soul; smooth organ swells, funky bass groove, crispy guitar licks; British boozy singalong anthem with transatlantic swagger; UK, mid-70s.",1974,/Volumes/Macintosh HD/Users/jasonfurnell/Dropbox/Music/DJ Styx - Fortune 500 June/03 How Long.m4a
